Dati 02 11 phantom 10, diametro: 22cm
frequency sweep 16, 6cm al centro
16 elettrodi
calibrazione 0123

baseline x2 - data x2 
737.38,710.45,751.39,729.06,757.25,768.96,775.32,755.39,774.75,765.61;
848.66,820.25,875.52,852.31,855.30,858.40,852.39,849.59,838.18,833.92;
2183.27,2070.23,2376.72,2456.50,2268.77,2277.48,2300.72,2261.06,2249.32,2274.80;
3263.92,3071.53,3702.64,3763.78,3228.78,3434.11,3314.30,3245.67,3152.18,3337.05;
4523.62,4809.96,5176.81,5318.30,4402.49,4182.75,4093.79,3905.06,3714.05,3962.12;
5160.71,5917.82,6106.55,5758.23,5006.93,4152.61,4544.16,3012.91,3121.79,3268.55;
9852.88,17529.16,12379.85,17209.09,8908.44,8852.48,7820.70,8475.96,7162.45,6741.25;
7826.35,7223.12,7953.30,8736.59,7778.90,7311.72,7090.17,7318.41,6302.40,6346.86;
4908.71,6315.30,5522.68,4644.82,4885.40,4684.35,4499.76,4758.45,4250.31,4261.91;
3855.03,3521.96,4429.35,4012.66,4158.84,3718.05,3662.89,3720.05,3472.52,3546.96;
3946.02,4150.27,4370.75,4020.64,3833.63,3730.31,3544.19,3524.33,3316.06,3495.23;
2850.44,3074.25,3155.93,2768.55,2845.64,2763.82,2783.21,2809.37,2672.07,2694.32;
1818.02,1906.65,1907.27,1778.46,1775.38,1795.97,1814.14,1604.83,1597.00,1651.18;
990.35,943.42,1023.27,1012.84,966.85,973.58,966.25,950.72,957.27,952.16;
1049.26,990.00,1076.20,1040.85,1080.32,1077.58,1079.49,1061.99,1087.93,1098.77;
2012.33,2099.86,2252.17,2351.00,2140.06,2146.54,2186.28,2157.11,2153.50,2135.09;
3271.17,3543.34,3638.62,3789.45,3444.91,3267.05,3134.79,3090.54,2773.05,2811.48;
3470.16,4396.52,4771.22,4605.91,3807.57,3502.92,3181.81,3025.68,2745.69,2538.17;
5087.36,5747.89,4901.74,4911.34,4167.27,4052.70,3605.38,3423.86,3020.11,2768.75;
5523.46,4578.40,5249.65,5666.43,4814.33,4438.10,4230.15,3700.08,3619.23,3333.75;
4905.47,4706.74,5593.16,4533.14,4647.45,4409.47,3954.26,3770.83,3370.23,3053.37;
4178.63,4790.49,4835.99,4558.14,4186.85,3799.01,3686.71,3356.58,3226.94,2985.31;
4751.86,4994.14,5913.91,4733.69,4439.84,3757.26,3310.92,2865.90,2571.50,2336.31;
4406.34,3519.05,4429.35,4315.94,3990.15,4122.85,3711.42,3711.23,3144.50,3089.33;
3271.17,2902.79,3561.49,3156.33,3227.73,3134.01,3003.55,2899.87,2765.26,2634.88;
2336.88,2537.63,2626.03,2393.14,2518.63,2509.37,2420.81,2400.27,2325.21,2275.85;
