acquisizioni phantom 7 06/10
calibrazione 0412 ref_res=500, f=50kHz
ad5933-isr-mux, f_isr=0.5Hz
baseline
11:00:26.228 -> 11: 1036.02,1237.23,1542.09,1828.62,1444.84,802.26,1457.12,2183.26,1935.60,861.90,1252.11,2251.64,2185.38,1366.42,1043.00,1170.49,1417.41,1104.20,1222.66,718.41,827.25,977.73,1648.13,1522.59,1264.84,801.42,1893.69,2061.42,2059.13,1155.19,1323.76,1856.64,2120.86,1511.16,812.95,843.53,1331.55,1141.57,968.33,786.78;
11:00:30.258 -> 12: 1054.05,1192.05,1551.50,1807.59,1395.31,763.44,1414.07,2072.52,1885.43,850.41,1228.39,2149.72,2044.26,1281.90,989.03,1116.19,1547.06,1138.04,1225.45,797.75,882.26,1010.79,1689.18,1539.19,1269.43,802.82,1893.89,2095.27,2093.13,1209.29,1436.15,1877.71,2067.30,1476.16,814.10,836.38,1272.85,1168.45,983.18,776.51;
11:00:34.230 -> 13: 1034.06,1234.41,1532.74,1835.70,1460.43,808.57,1501.48,2201.56,1972.32,859.40,1237.23,2203.46,2210.81,1385.59,1038.84,1152.05,1457.86,1118.57,1193.96,765.66,854.64,983.50,1625.52,1491.94,1240.30,794.71,1880.31,2103.16,2174.65,1211.90,1413.70,1843.62,2168.70,1542.94,840.54,855.88,1358.71,1148.93,987.57,795.35;
11:00:38.241 -> 14: 1080.28,1315.38,1624.07,1908.59,1472.56,806.11,1505.57,2202.42,1979.75,861.58,1255.11,2248.00,2203.43,1404.71,1066.20,1220.07,1570.66,1181.03,1273.26,794.92,874.80,1004.48,1685.81,1550.89,1283.62,810.95,1975.70,2223.04,2352.61,1272.30,1501.25,2041.38,2349.78,1647.72,863.52,880.58,1428.64,1229.50,1009.14,804.02;
11:00:38.569 -> END!


buco 6cm al centro
1116.53,1063.23,1135.79,1453.15,1250.21,834.78,1120.08,1467.50,1334.47,744.31,1111.03,1608.73,1498.08,989.18,1092.96,1091.66,1167.32,787.55,1061.67,824.05,930.29,837.42,1205.57,1153.84,1166.93,843.52,1471.94,1477.98,1664.70,1122.04,1298.54,1374.30,1556.08,1223.17,917.38,747.18,1006.98,798.76,804.24,819.67;
11:01:26.205 -> 11: 1118.69,1066.63,1131.35,1457.33,1238.48,832.53,1111.92,1464.35,1320.40,741.65,1099.46,1596.29,1476.53,980.25,1079.35,1082.84,1149.70,780.83,1046.35,813.53,908.63,823.01,1172.28,1123.89,1137.19,841.49,1453.64,1467.85,1634.23,1110.04,1277.00,1346.97,1516.83,1191.31,904.90,736.35,990.98,787.29,790.65,804.60;
11:01:30.189 -> 12: 1092.99,1039.90,1104.90,1398.63,1202.61,815.13,1085.11,1395.13,1279.06,729.90,1068.49,1516.56,1413.30,953.89,1041.93,1040.91,1104.32,760.27,1007.24,796.55,888.42,807.15,1137.20,1090.45,1100.16,824.12,1392.98,1406.16,1570.33,1075.80,1224.95,1293.79,1462.71,1146.42,901.84,736.05,995.93,792.68,791.67,809.54;
